,date,AAPL,JPM,XOM,F,LMT
0,2021-01-15,127.14,138.64,47.89,9.83,347.27
1,2021-01-19,127.83,138.04,48.84,10.02,341.5
2,2021-01-20,132.03,135.97,49.53,10.86,341.67
3,2021-01-21,136.87,134.83,48.11,11.53,339.67
4,2021-01-22,139.07,133.79,47.43,11.52,339.88
5,2021-01-25,142.92,132.12,46.9,11.29,343.51
6,2021-01-26,143.16,131.58,45.87,11.19,330.69
7,2021-01-27,142.06,127.86,45.35,10.79,332.51
8,2021-01-28,137.09,130.11,46.06,10.72,327.93
9,2021-01-29,131.96,128.67,44.84,10.53,321.82
10,2021-02-01,134.14,129.62,44.92,10.83,324.03
11,2021-02-02,134.99,133.61,45.63,10.86,332.7
12,2021-02-03,133.94,135.14,47.42,11.2,332.39
13,2021-02-04,137.39,138.25,48.33,11.37,337.23
14,2021-02-05,136.76,137.98,49.95,11.51,337.04
15,2021-02-08,136.91,140.14,52.1,11.56,337.84
16,2021-02-09,136.01,139.58,50.63,11.93,342.34
17,2021-02-10,135.39,139.66,51.12,11.76,342.19
18,2021-02-11,135.13,139.27,49.84,11.45,339.14
19,2021-02-12,135.37,141.25,50.52,11.45,337.73
20,2021-02-16,133.19,144.65,52.04,11.54,335.03
21,2021-02-17,130.84,145.1,52.85,11.48,337.0
22,2021-02-18,129.71,145.59,52.02,11.43,337.92
23,2021-02-19,129.87,148.02,52.37,11.58,335.42
24,2021-02-22,126.0,149.41,54.3,11.7,340.47
25,2021-02-23,125.86,150.61,55.05,11.62,346.23
26,2021-02-24,125.35,153.26,56.7,12.27,346.53
27,2021-02-25,120.99,151.18,55.76,11.76,341.69
28,2021-02-26,121.26,147.17,54.37,11.7,330.25
29,2021-03-01,127.79,150.5,56.4,11.98,333.47
30,2021-03-02,125.12,150.01,56.07,12.55,338.59
31,2021-03-03,122.06,152.91,56.52,12.17,340.91
32,2021-03-04,120.13,150.56,58.71,11.93,338.25
33,2021-03-05,121.42,150.91,60.93,12.27,340.43
34,2021-03-08,116.36,152.91,60.87,12.65,341.45
35,2021-03-09,121.085,151.83,59.93,12.57,337.5
36,2021-03-10,119.98,155.13,61.77,12.91,340.84
37,2021-03-11,121.96,154.32,61.31,12.81,339.73
38,2021-03-12,121.03,156.15,61.97,13.37,340.19
39,2021-03-15,123.99,155.37,60.39,13.2,346.41
40,2021-03-16,125.57,153.51,59.11,12.49,347.13
41,2021-03-17,124.76,155.09,59.37,12.69,351.02
42,2021-03-18,120.53,157.65,56.81,12.49,358.45
43,2021-03-19,119.99,155.14,56.49,12.83,355.07
44,2021-03-22,123.39,150.97,55.91,12.85,357.66
45,2021-03-23,122.54,149.46,55.22,12.21,353.61
46,2021-03-24,120.09,150.62,56.34,12.14,356.12
47,2021-03-25,120.59,152.55,56.18,12.32,361.22
48,2021-03-26,121.21,155.09,57.71,12.3,364.71
49,2021-03-29,121.39,152.68,57.4,12.15,372.79
50,2021-03-30,119.9,154.48,56.69,12.46,370.54
51,2021-03-31,122.15,152.23,55.83,12.25,369.5
52,2021-04-01,123.0,153.71,57.39,12.17,371.02
53,2021-04-05,125.9,153.62,56.5,12.7,378.75
54,2021-04-06,126.21,152.54,56.34,12.92,378.97
55,2021-04-07,127.9,154.93,56.59,12.73,380.19
56,2021-04-08,130.36,155.12,56.0,12.51,386.02
57,2021-04-09,132.995,156.28,55.87,12.51,386.23
58,2021-04-12,131.24,155.95,55.5,12.38,387.85
59,2021-04-13,134.43,154.09,55.71,12.2,387.11
60,2021-04-14,132.03,151.21,57.32,12.24,388.67
61,2021-04-15,134.5,152.17,56.98,12.24,390.63
62,2021-04-16,134.16,153.3,56.66,12.23,391.81
63,2021-04-19,134.84,152.65,56.48,12.11,391.73
64,2021-04-20,133.11,149.27,55.29,11.45,387.33
65,2021-04-21,133.5,150.54,56.0,11.73,387.24
66,2021-04-22,131.94,147.37,55.27,11.94,380.09
67,2021-04-23,134.32,150.19,55.57,12.22,377.29
68,2021-04-26,134.72,150.56,55.68,12.27,371.98
69,2021-04-27,134.39,151.25,56.41,12.49,373.22
70,2021-04-28,133.58,152.23,58.11,12.43,372.94
71,2021-04-29,133.48,155.19,58.94,11.26,380.35
72,2021-04-30,131.46,153.81,57.24,11.54,380.56
73,2021-05-03,132.54,153.36,58.82,11.63,385.31
74,2021-05-04,127.85,155.48,59.19,11.41,387.48
75,2021-05-05,128.1,157.52,60.97,11.61,386.37
76,2021-05-06,129.74,160.69,61.55,11.74,387.34
77,2021-05-07,130.21,161.24,62.43,11.82,390.34
78,2021-05-10,126.85,161.22,62.58,11.71,393.14
79,2021-05-11,125.91,158.54,60.59,11.58,387.82
80,2021-05-12,122.77,157.45,60.04,11.33,380.62
81,2021-05-13,124.97,161.5,59.3,11.55,387.77
82,2021-05-14,127.45,164.01,60.77,11.84,390.78
83,2021-05-17,126.27,164.67,62.19,12.15,391.12
84,2021-05-18,124.85,162.35,60.43,12.14,387.22
85,2021-05-19,124.69,161.11,58.98,12.11,385.54
86,2021-05-20,127.31,160.83,58.84,12.49,388.32
87,2021-05-21,125.43,162.66,58.92,13.33,387.22
88,2021-05-24,127.1,163.54,59.61,13.06,387.71
89,2021-05-25,126.9,161.85,58.26,12.81,385.85
90,2021-05-26,126.85,161.83,58.94,13.9,384.13
91,2021-05-27,125.28,164.35,58.56,14.88,387.39
92,2021-05-28,124.61,164.24,58.37,14.53,382.2
93,2021-06-01,124.28,166.05,60.46,14.81,381.92
94,2021-06-02,125.06,166.06,60.94,14.91,385.09
95,2021-06-03,123.54,166.17,61.18,15.99,387.35
96,2021-06-04,125.89,166.44,61.45,15.97,394.1
